2025-12-20 21:37:55,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000202890.json
2025-12-20 21:37:55,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000885066.json
2025-12-20 21:37:55,727 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000909950.json
2025-12-20 21:37:56,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000003941.json
2025-12-20 21:37:56,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001013218.json
2025-12-20 21:37:56,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000027425.json
2025-12-20 21:37:57,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000714756.json
2025-12-20 21:37:57,398 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000027425.json
2025-12-20 21:37:57,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000051124.json
2025-12-20 21:37:58,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000772349.json
2025-12-20 21:37:58,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000315136.json
2025-12-20 21:37:58,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000868076.json
2025-12-20 21:37:59,062 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001068078.json
2025-12-20 21:37:59,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001256536.json
2025-12-20 21:37:59,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000853927.json
2025-12-20 21:38:00,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000922812.json
2025-12-20 21:38:00,395 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000878774.json
2025-12-20 21:38:00,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000005588.json
2025-12-20 21:38:01,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001072258.json
2025-12-20 21:38:01,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000824206.json
2025-12-20 21:38:01,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001095827.json
2025-12-20 21:38:02,058 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000726990.json
2025-12-20 21:38:02,396 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000875612.json
2025-12-20 21:38:02,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000811119.json
2025-12-20 21:38:03,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001004153.json
2025-12-20 21:38:03,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000006071.json
2025-12-20 21:38:03,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001015535.json
2025-12-20 21:38:04,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000225569.json
2025-12-20 21:38:04,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000006260.json
2025-12-20 21:38:04,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000780118.json
2025-12-20 21:38:05,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001097523.json
2025-12-20 21:38:05,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001052163.json
2025-12-20 21:38:05,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001052163.json
2025-12-20 21:38:06,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001052163.json
